specialty_id,specialty_name,service_id,service_name,service_desc,service_name_vn,service_desc_vn,is_advanced,intensity_level
11100,Neurosurgery,11101,"Initial Consultation for Neurological Symptoms","Evaluation of specific symptoms such as severe headaches or seizures, with diagnosis and treatment recommendations.","Tư vấn ban đầu về triệu chứng thần kinh","Đánh giá các triệu chứng cụ thể như đau đầu nghiêm trọng hoặc co giật, cung cấp đề xuất về chẩn đoán và điều trị.",No,2
11100,Neurosurgery,11102,"Brain Tumor Consultation","Evaluation for suspected brain tumors or cysts, with discussion of surgical treatment options and planning.","Tư vấn về u não","Đánh giá các nghi ngờ về u não hoặc áp xe, thảo luận về tùy chọn điều trị bằng phẫu thuật và lập kế hoạch.",No,2
11100,Neurosurgery,11103,"Spinal Surgery Evaluation","Consultation for spinal conditions such as herniated discs or spinal stenosis, with an assessment of the need for surgical intervention.","Đánh giá phẫu thuật cột sống","Tư vấn cho các vấn đề cột sống như đĩa đệm thoát vị hoặc co hẹp cột sống, đánh giá nhu cầu can thiệp phẫu thuật.",No,2
11100,Neurosurgery,11104,"Epilepsy Assessment","Diagnosis and evaluation for epilepsy or seizure disorders, with treatment recommendations, including surgery if needed.","Đánh giá động kinh","Chẩn đoán và đánh giá về bệnh động kinh hoặc rối loạn co giật, đưa ra đề xuất điều trị, bao gồm phẫu thuật nếu cần.",No,2
11100,Neurosurgery,11105,"Aneurysm Evaluation","Assessment and monitoring of cerebral aneurysms, with planning for endovascular or surgical intervention.","Đánh giá nứt động mạch sọ não","Đánh giá và theo dõi các nứt động mạch sọ não, lập kế hoạch cho can thiệp mạch máu bằng cách phẫu thuật hoặc thông qua mạch máu bên trong.",No,2
11100,Neurosurgery,11106,"Pediatric Neurosurgery Consultation","Evaluation of pediatric neurological conditions, with treatment planning for pediatric patients.","Tư vấn phẫu thuật não trẻ em","Đánh giá các vấn đề thần kinh trẻ em, lập kế hoạch điều trị cho bệnh nhân trẻ em.",Yes,0
11100,Neurosurgery,11107,"Spinal Cord Injury Management","Assessment and treatment of spinal cord injuries, including rehabilitation and surgical interventions.","Quản lý chấn thương cột sống","Đánh giá và điều trị chấn thương cột sống, bao gồm phục hồi và can thiệp phẫu thuật.",Yes,2
11100,Neurosurgery,11108,"Deep Brain Stimulation (DBS) Consultation","Evaluation for movement disorders, such as Parkinson's disease, with discussion of DBS as a treatment option.","Tư vấn kích thích não sâu","Đánh giá cho các rối loạn vận động như bệnh Parkinson, thảo luận về DBS như một tùy chọn điều trị.",Yes,0
11100,Neurosurgery,11109,"Chronic Pain Assessment","Evaluation for chronic pain syndromes, including neuropathic pain, with discussion of surgical and non-surgical pain management.","Đánh giá đau mạn tính","Đánh giá các hội chứng đau mạn tính, bao gồm đau thần kinh, thảo luận về quản lý đau phẫu thuật và không phẫu thuật.",Yes,0
11200,Palliative Care,11201,"Initial Consultation for Palliative Care","Evaluation and planning for pain and symptom management in patients with life-limiting illnesses.","Tư vấn ban đầu về chăm sóc giảm nhẹ","Đánh giá và lập kế hoạch quản lý đau và triệu chứng cho bệnh nhân mắc bệnh có giới hạn cuộc sống.",No,3
11200,Palliative Care,11202,"End-of-Life Planning","Assistance with end-of-life planning, including advanced care directives and family discussions.","Lập kế hoạch cuối đời","Hỗ trợ trong lập kế hoạch cuối đời, bao gồm chỉ đạo chăm sóc nâng cao và cuộc thảo luận gia đình.",No,3
11200,Palliative Care,11203,"Pain Management Services","Comprehensive pain management services, including medication adjustment and non-pharmacological approaches.","Dịch vụ quản lý đau","Dịch vụ quản lý đau toàn diện, bao gồm điều chỉnh thuốc và phương pháp không dùng thuốc.",No,3
11200,Palliative Care,11204,"Hospice Care Consultation","Consultation regarding hospice care options, including in-home or facility-based care.","Tư vấn chăm sóc hospice","Tư vấn về tùy chọn chăm sóc hospice, bao gồm chăm sóc tại nhà hoặc tại cơ sở chăm sóc.",No,3
11200,Palliative Care,11205,"Grief and Bereavement Support","Support for individuals and families experiencing grief and loss, including counseling and coping strategies.","Hỗ trợ tang thương và đau buồn","Hỗ trợ cho cá nhân và gia đình đang trải qua đau buồn và mất mát, bao gồm tư vấn và chiến lược đối phó.",No,3
11200,Palliative Care,11206,"Pediatric Palliative Care Consultation","Evaluation and planning for palliative care for children with life-limiting conditions.","Tư vấn chăm sóc giảm nhẹ trẻ em","Đánh giá và lập kế hoạch chăm sóc giảm nhẹ cho trẻ em mắc bệnh có giới hạn cuộc sống.",Yes,3
11200,Palliative Care,11207,"Family Caregiver Support","Support and education for family caregivers providing care to patients with life-limiting illnesses.","Hỗ trợ người chăm sóc gia đình","Hỗ trợ và giáo dục cho người chăm sóc gia đình đang chăm sóc bệnh nhân mắc bệnh có giới hạn cuộc sống.",No,3
